Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
17,-1.1249,0.8328,78.0286,-2.975,-6.852,-0.315,13.799,19.329,33.785,7.531,-5.27,-5.661,8.031,-2.703,-7.724,7.56,0.821,15.0,-3.244,5.896,16.046,-14.687,17.405,-3.718,65.192,-11.781,0.0,4.405,-10.412,-19.271,33.942,69.373,0.0,-50.267,0.0
18,-1.1938,0.9009,78.0349,-2.901,-6.866,-0.196,13.768,19.224,33.957,7.495,-5.811,-5.654,8.011,-3.006,-8.278,7.852,-7.978,15.0,-3.25,5.808,16.133,-14.508,18.226,-18.966,60.643,-11.674,0.0,4.479,-10.691,-19.057,34.113,71.398,0.0,-50.159,0.0
19,-1.2599,0.9676,78.0407,-2.829,-6.883,-0.082,13.641,19.051,33.693,7.608,-7.883,-5.647,7.919,-3.117,-8.139,7.964,-7.402,15.0,-3.357,5.669,16.315,-13.565,18.422,-33.345,53.979,-11.57,0.0,4.551,-10.888,-19.065,35.07,70.493,0.0,-50.086,0.0
20,-1.323,1.0327,78.0461,-2.759,-6.899,0.024,13.553,18.902,33.571,7.658,-9.167,-5.643,7.842,-3.297,-8.253,8.208,-11.373,15.0,-3.45,5.546,16.465,-12.645,19.264,-59.465,44.95,-11.469,0.0,4.622,-11.156,-19.031,36.201,70.595,0.0,-50.041,0.0
21,-1.3825,1.0956,78.0509,-2.693,-6.915,0.12,13.468,18.743,33.405,7.671,-9.644,-5.644,7.798,-3.456,-8.329,8.055,-3.635,15.0,-3.4,5.448,16.572,-12.483,19.05,-33.881,46.6,-11.373,0.0,4.69,-11.167,-18.89,35.619,70.434,0.0,-50.014,0.0
22,-1.4385,1.1562,78.0553,-2.631,-6.93,0.205,13.397,18.626,33.358,7.698,-9.467,-5.652,7.74,-3.619,-8.433,8.28,-8.388,15.0,-3.216,5.353,16.585,-13.192,18.956,-33.433,47.338,-11.281,0.0,4.754,-11.135,-18.871,36.087,70.358,0.0,-49.998,0.0
23,-1.4909,1.2136,78.059,-2.575,-6.944,0.279,13.324,18.513,33.294,7.766,-10.617,-5.664,7.699,-3.745,-8.446,8.295,-7.38,15.0,-2.866,5.282,16.523,-15.036,17.663,-39.902,61.584,-11.196,0.0,4.815,-10.928,-18.873,36.186,70.206,0.0,-49.997,0.0
24,-1.5398,1.2673,78.0624,-2.524,-6.955,0.342,13.255,18.39,33.188,7.677,-7.07,-5.679,7.65,-3.855,-8.423,8.312,-6.109,15.0,-2.598,5.213,16.503,-16.261,16.851,-88.926,71.123,-11.116,0.0,4.872,-10.78,-18.86,36.171,69.896,0.0,-50.023,0.0
25,-1.5856,1.3175,78.0654,-2.475,-6.963,0.393,13.192,18.291,33.141,7.617,-3.963,-5.694,7.584,-3.956,-8.386,8.584,-12.78,15.0,-2.502,5.142,16.562,-16.596,17.245,-150.0,73.151,-11.043,0.0,4.924,-10.795,-18.796,36.078,69.66,0.0,-50.09,0.0
26,-1.6263,1.3633,78.0681,-2.429,-6.964,0.428,13.119,18.18,33.01,7.691,-5.652,-5.705,7.521,-4.058,-8.381,8.618,-11.468,15.0,-2.286,5.054,16.553,-16.913,15.948,-64.057,78.826,-10.978,0.0,4.97,-10.741,-18.794,36.326,69.439,0.0,-50.207,0.0
