Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
17,6.6231,10.5525,74.2525,-11.03,2.267,3.554,-33.652,42.657,34.663,41.13,5.663,-2.653,9.663,-4.773,-21.761,11.077,-14.008,15.0,-7.09,-10.987,19.464,-123.546,75.123,-32.624,59.392,4.227,0.0,14.833,-60.095,-95.721,-24.173,25.532,0.0,-61.358,0.0
18,7.1668,11.5764,73.8329,-11.891,3.371,4.032,-37.252,42.578,31.766,44.321,8.906,-5.057,9.017,-4.777,-22.208,11.491,-14.713,15.0,-7.654,-12.279,19.267,-122.03,75.01,-46.255,63.232,4.531,0.0,15.051,-81.291,-93.424,-3.701,26.455,0.0,-61.279,0.0
19,7.7258,12.6579,73.3881,-12.74,4.567,4.546,-40.943,42.231,28.737,47.696,6.251,-7.512,8.35,-4.87,-22.748,12.015,-15.21,15.0,-8.52,-13.771,19.019,-120.552,75.942,-46.913,63.377,4.834,0.0,15.093,-109.323,-90.235,23.136,27.355,0.0,-61.3,0.0
20,8.3051,13.8129,72.9248,-13.616,5.833,5.131,-44.657,41.627,25.741,51.006,3.835,-9.905,7.667,-5.026,-23.372,12.628,-16.428,15.0,-8.491,-14.826,19.487,-118.516,76.524,-47.271,62.842,5.206,0.0,15.034,-102.422,-91.015,16.166,29.337,0.0,-61.353,0.0
21,8.9055,15.0494,72.4519,-14.534,7.204,5.967,-48.222,40.736,23.004,54.222,-6.15,-11.973,6.948,-5.254,-24.082,13.116,-11.073,15.0,-9.013,-16.191,19.801,-117.179,77.676,-51.04,61.967,5.693,0.0,15.0,-109.198,-90.171,22.274,30.85,0.0,-61.334,0.0
22,9.5217,16.3624,71.9871,-15.468,8.762,6.966,-51.663,39.576,20.577,56.925,-7.433,-13.574,6.198,-5.498,-24.93,13.829,-16.949,15.0,-9.717,-17.602,20.174,-116.116,79.137,-57.435,60.655,6.314,0.0,15.0,-116.481,-89.208,28.934,32.217,0.0,-61.287,0.0
23,10.1551,17.7572,71.553,-16.47,10.543,8.059,-54.91,38.153,18.515,59.44,-15.812,-14.626,5.424,-5.756,-25.831,14.121,-14.603,15.0,-10.198,-18.983,20.523,-113.485,78.668,-49.839,61.238,7.041,0.0,15.0,-122.104,-88.491,34.079,32.965,0.0,-61.257,0.0
24,10.8133,19.2302,71.1669,-17.449,12.596,9.209,-57.935,36.519,16.853,61.359,-20.023,-15.0,4.555,-6.07,-26.778,14.158,-11.857,15.0,-10.867,-20.373,20.813,-111.122,78.73,-47.039,61.148,7.834,0.0,15.0,-127.68,-87.413,39.297,33.493,0.0,-61.218,0.0
25,11.5044,20.7719,70.8402,-18.44,14.917,10.321,-64.423,36.793,25.319,69.078,-17.506,-15.0,3.557,-6.326,-27.521,13.916,-11.163,15.0,-11.513,-21.669,21.029,-108.531,78.61,-43.962,61.188,8.635,0.0,15.0,-132.988,-86.055,44.436,33.956,0.0,-61.205,0.0
26,12.2407,22.3789,70.5938,-19.46,17.46,11.265,-61.196,31.762,7.693,59.511,-20.933,-15.0,2.422,-6.431,-27.975,13.063,-7.057,15.0,-12.029,-22.798,21.229,-105.754,78.488,-41.358,60.593,9.397,0.0,15.0,-137.878,-84.524,49.656,34.167,0.0,-61.209,0.0
27,13.0202,24.0445,70.4279,-20.755,20.274,11.914,-63.385,29.58,5.45,58.984,-26.493,-15.0,1.137,-6.363,-27.616,11.575,0.263,15.0,-12.572,-23.924,21.209,-103.324,78.271,-38.364,61.552,10.097,0.0,15.0,-140.489,-82.448,51.942,34.365,0.0,-61.365,0.0
28,13.8523,25.7679,70.3429,-22.569,23.129,12.273,-60.928,25.598,-9.881,50.603,-33.071,-15.0,-0.127,-5.938,-25.645,9.648,9.129,15.0,-12.926,-24.89,21.155,-101.264,78.121,-36.264,62.907,10.702,0.0,15.0,-142.19,-80.02,53.643,34.724,0.0,-61.747,0.0
